,Country,Ground.Truth.Internet.GG,Jun_Internet_online_model,Sep_Internet_online_model,Oct_Internet_online_model,Nov_Internet_online_model,Jun_Internet_online_offline_model,Sep_Internet_online_offline_model,Oct_Internet_online_offline_model,Nov_Internet_online_offline_model,Internet.Offline.model.prediction,Mobile_GG,Jun_Mobile_online_model,Sep_Mobile_online_model,Oct_Mobile_online_model,Nov_Mobile_online_model,Jun_Mobile_online_offline_model,Sep_Mobile_online_offline_model,Oct_Mobile_online_offline_model,Nov_Mobile_online_offline_model,Mobile.Offline.model.prediction,Sep_ Jun_ Internet_online_model perc_change _,Oct_ Sep_ Internet_online_model perc_change _,Nov_ Oct_ Internet_online_model perc_change _,Sep_ Jun_ Internet_online_offline_model perc_change _,Oct_ Sep_ Internet_online_offline_model perc_change _,Nov_ Oct_ Internet_online_offline_model perc_change _,Sep_ Jun_ Mobile_online_model perc_change _,Oct_ Sep_ Mobile_online_model perc_change _,Nov_ Oct_ Mobile_online_model perc_change _,Sep_ Jun_ Mobile_online_offline_model perc_change _,Oct_ Sep_ Mobile_online_offline_model perc_change _,Nov_ Oct_ Mobile_online_offline_model perc_change _,Numeric Country
61,GHA,NA,0.786,0.794,0.785,0.798,0.802,0.812,0.801,0.817,0.8,0.96,0.870,0.866,0.861,0.862,0.985,0.978,0.962,0.960,0.904,0.960,-1.080,1.638,1.227,-1.378,2.096,-0.400,-0.647,0.186,-0.669,-1.615,-0.212,288
62,GRC,0.931,0.903,0.915,0.917,0.917,0.899,0.916,0.918,0.918,0.937,NA,0.992,1.000,1.000,0.992,NA,NA,NA,NA,NA,1.371,0.177,0.000,1.796,0.231,0.000,0.832,0.000,-0.832,NA,NA,NA,300
63,GRD,NA,0.986,0.986,0.986,0.986,NA,NA,NA,NA,NA,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,0.000,0.000,NA,NA,NA,0.000,0.000,0.000,NA,NA,NA,308
64,GTM,NA,0.870,0.894,0.885,0.875,0.896,0.927,0.915,0.902,0.866,NA,0.971,0.979,0.976,0.979,NA,NA,NA,NA,NA,2.704,-0.977,-1.114,3.428,-1.230,-1.406,0.828,-0.349,0.283,NA,NA,NA,320
65,GIN,NA,0.772,0.795,0.796,0.807,1.000,1.000,1.000,1.000,0.686,NA,0.813,0.839,0.860,0.871,0.892,0.921,0.955,0.962,0.823,3.015,0.123,1.369,0.000,0.000,0.000,3.200,2.490,1.277,3.217,3.655,0.829,324
66,GNB,NA,0.735,0.749,0.755,0.750,NA,NA,NA,NA,NA,NA,0.775,0.785,0.791,0.791,0.718,0.733,0.742,0.731,0.647,1.916,0.765,-0.574,NA,NA,NA,1.290,0.787,0.000,2.121,1.194,-1.513,624
67,GUY,NA,0.986,0.986,0.986,0.986,NA,NA,NA,NA,NA,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,0.000,0.000,NA,NA,NA,0.000,0.000,0.000,NA,NA,NA,328
68,HTI,NA,0.862,0.859,0.866,0.877,NA,NA,NA,NA,NA,NA,0.955,0.978,0.982,0.982,1.000,1.000,1.000,1.000,0.880,-0.293,0.797,1.194,NA,NA,NA,2.337,0.452,0.000,0.000,0.000,0.000,332
69,HND,NA,0.986,0.986,0.986,0.986,0.947,0.947,0.947,0.947,0.851,NA,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,340
70,HKG,0.96,0.986,0.986,0.986,0.986,NA,NA,NA,NA,NA,NA,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NA,0.000,0.000,0.000,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,344
71,HUN,0.954,0.982,0.982,0.980,0.980,0.984,0.984,0.981,0.981,0.983,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,-0.182,0.000,0.000,-0.237,0.000,0.000,0.000,0.000,NA,NA,NA,348
72,ISL,0.997,0.983,0.983,0.983,0.983,0.991,0.991,0.991,0.991,0.99,NA,1.000,1.000,0.994,0.994,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.614,0.000,NA,NA,NA,352
73,IND,NA,0.709,0.704,0.704,0.703,0.730,0.724,0.724,0.723,0.754,0.64,0.721,0.721,0.723,0.720,0.746,0.750,0.755,0.751,0.654,-0.676,0.042,-0.127,-0.856,0.053,-0.161,0.008,0.283,-0.431,0.514,0.728,-0.584,356
74,IDN,0.857,0.868,0.881,0.875,0.877,0.837,0.853,0.846,0.849,0.885,0.9,0.901,0.901,0.893,0.907,0.840,0.816,0.803,0.822,0.929,1.430,-0.639,0.235,1.937,-0.862,0.317,0.023,-0.939,1.541,-2.792,-1.676,2.428,360
75,IRQ,NA,0.721,0.721,0.719,0.719,NA,NA,NA,NA,NA,0.89,0.732,0.740,0.744,0.745,0.805,0.812,0.815,0.818,0.934,0.000,-0.255,0.000,NA,NA,NA,1.111,0.563,0.023,0.855,0.399,0.308,368
76,IRL,1,0.986,0.986,0.986,0.986,1.000,1.000,1.000,1.000,0.97,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,372
77,ISR,0.973,0.938,0.935,0.936,0.936,NA,NA,NA,NA,0.955,NA,0.986,0.997,0.980,0.993,0.933,0.936,0.912,0.931,NA,-0.248,0.127,0.000,NA,NA,NA,1.128,-1.728,1.361,0.390,-2.594,2.070,376
78,ITA,0.886,0.931,0.931,0.931,0.931,0.923,0.923,0.923,0.923,0.935,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.013,0.000,0.000,0.018,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,380
79,JAM,1,0.986,0.986,0.986,0.986,0.960,0.960,0.960,0.960,0.927,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,388
80,JPN,0.961,0.928,0.928,0.928,0.928,0.924,0.924,0.924,0.924,0.944,NA,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NA,0.003,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,392
81,JOR,NA,0.882,0.882,0.886,0.886,0.834,0.834,0.840,0.840,0.878,0.79,0.911,0.918,0.915,0.912,0.865,0.869,0.851,0.847,0.945,-0.014,0.516,0.000,-0.020,0.711,0.000,0.768,-0.374,-0.331,0.522,-2.112,-0.503,400
82,KAZ,0.974,0.986,0.986,0.986,0.986,0.985,0.985,0.985,0.985,0.976,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,398
83,KEN,NA,0.833,0.851,0.847,0.854,0.824,0.847,0.842,0.851,0.886,0.93,0.899,0.919,0.918,0.919,0.882,0.908,0.908,0.900,0.896,2.144,-0.463,0.832,2.830,-0.607,1.092,2.312,-0.193,0.136,2.887,0.058,-0.884,404
84,KIR,NA,0.986,0.986,0.986,0.984,NA,NA,NA,NA,NA,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,0.000,-0.232,NA,NA,NA,0.000,0.000,0.000,NA,NA,NA,296
86,KWT,NA,0.814,0.798,0.810,0.807,NA,NA,NA,NA,0.936,NA,0.830,0.821,0.826,0.822,0.839,0.826,0.817,0.825,NA,-1.880,1.484,-0.397,NA,NA,NA,-1.097,0.586,-0.427,-1.567,-1.091,1.056,414
87,KGZ,NA,0.945,0.964,0.946,0.964,0.897,0.921,0.899,0.921,0.871,NA,0.992,1.000,1.000,1.000,NA,NA,NA,NA,NA,1.951,-1.813,1.846,2.683,-2.474,2.537,0.802,0.000,0.000,NA,NA,NA,417
89,LVA,0.976,0.986,0.986,0.986,0.986,0.981,0.981,0.981,0.981,1,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,428
90,LBN,NA,0.856,0.897,0.879,0.863,0.854,0.907,0.884,0.864,0.91,NA,0.880,0.900,0.897,0.874,0.785,0.813,0.808,0.776,NA,4.735,-1.966,-1.794,6.190,-2.535,-2.327,2.279,-0.362,-2.569,3.494,-0.567,-4.036,422
91,LSO,NA,0.937,0.967,0.967,0.967,0.874,0.913,0.913,0.913,0.843,NA,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.909,3.186,0.000,0.000,4.458,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,426
92,LBR,NA,0.832,0.832,0.844,0.849,1.000,1.000,1.000,1.000,0.693,NA,0.911,0.934,0.928,0.934,0.831,0.848,0.841,0.855,0.646,0.000,1.401,0.614,0.000,0.000,0.000,2.496,-0.646,0.627,2.043,-0.831,1.626,430
93,LBY,NA,0.813,0.826,0.834,0.821,NA,NA,NA,NA,NA,NA,0.824,0.845,0.841,0.839,0.843,0.853,0.840,0.838,0.945,1.592,0.999,-1.526,NA,NA,NA,2.614,-0.527,-0.228,1.213,-1.530,-0.323,434
94,LIE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438
95,LTU,1,0.981,0.980,0.967,0.977,0.977,0.976,0.958,0.971,0.993,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,-0.124,-1.344,1.041,-0.162,-1.762,1.370,0.000,0.000,0.000,NA,NA,NA,440
96,LUX,0.969,0.960,0.958,0.959,0.985,0.974,0.972,0.974,1.000,1,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,-0.197,0.176,2.641,-0.253,0.227,2.647,0.000,0.000,0.000,NA,NA,NA,442
99,MDG,NA,0.844,0.857,0.852,0.852,0.798,0.815,0.808,0.808,0.818,NA,0.909,0.924,0.916,0.899,0.711,0.734,0.718,0.711,0.650,1.489,-0.551,-0.063,2.055,-0.757,-0.087,1.725,-0.922,-1.860,3.147,-2.178,-0.920,450
100,MWI,NA,0.735,0.755,0.764,0.764,0.750,0.776,0.788,0.788,0.75,NA,0.744,0.789,0.781,0.782,0.565,0.635,0.629,0.626,0.679,2.656,1.283,0.000,3.398,1.629,0.000,6.038,-0.935,0.150,12.296,-0.966,-0.423,454
101,MYS,0.945,0.897,0.893,0.904,0.880,0.893,0.888,0.902,0.871,NA,NA,0.952,0.970,0.957,0.941,0.864,0.884,0.873,0.850,NA,-0.411,1.225,-2.621,-0.538,1.607,-3.428,1.887,-1.248,-1.668,2.243,-1.255,-2.592,458
102,MDV,NA,0.772,0.772,0.770,0.772,0.703,0.703,0.701,0.703,0.94,NA,0.791,0.801,0.796,0.787,NA,NA,NA,NA,NA,0.011,-0.217,0.258,0.016,-0.311,0.370,1.301,-0.562,-1.173,NA,NA,NA,462
103,MLI,NA,0.690,0.696,0.701,0.693,1.000,1.000,1.000,1.000,0.649,NA,0.701,0.716,0.714,0.721,0.787,0.804,0.798,0.808,0.824,0.933,0.646,-1.050,0.000,0.000,0.000,2.057,-0.276,0.976,2.172,-0.748,1.237,466
104,MLT,0.965,0.958,0.933,0.958,0.936,0.996,0.963,0.996,0.966,0.952,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,-2.655,2.706,-2.324,-3.333,3.421,-2.918,0.000,0.000,0.000,NA,NA,NA,470
105,MHL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,584
106,MRT,NA,0.754,0.764,0.760,0.761,0.911,0.924,0.919,0.920,0.621,NA,0.776,0.775,0.779,0.788,0.724,0.723,0.722,0.713,0.870,1.377,-0.537,0.156,1.487,-0.579,0.169,-0.152,0.486,1.149,-0.243,-0.087,-1.222,478
107,MUS,0.835,0.900,0.910,0.912,0.904,0.893,0.905,0.908,0.898,0.904,NA,0.990,0.989,0.991,0.989,0.983,0.969,0.971,0.967,NA,1.059,0.191,-0.838,1.393,0.250,-1.098,-0.151,0.274,-0.250,-1.393,0.256,-0.491,480
108,MEX,0.902,0.984,0.972,0.984,0.972,0.984,0.968,0.983,0.968,0.868,0.94,1.000,1.000,1.000,1.000,0.995,0.996,0.998,0.999,0.945,-1.237,1.188,-1.174,-1.615,1.557,-1.533,0.000,0.000,0.000,0.109,0.202,0.063,484
111,MCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492
112,MNG,NA,0.986,0.986,0.986,0.986,0.973,0.973,0.973,0.973,0.94,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,496
113,MNE,0.862,0.898,0.920,0.901,0.898,0.873,0.903,0.878,0.873,0.927,NA,1.000,1.000,0.998,0.981,NA,NA,NA,NA,NA,2.512,-2.058,-0.420,3.371,-2.739,-0.563,0.000,-0.244,-1.694,NA,NA,NA,499
114,MAR,0.818,0.781,0.788,0.789,0.789,0.859,0.868,0.870,0.869,0.836,NA,0.803,0.822,0.815,0.815,0.845,0.857,0.851,0.846,0.928,0.895,0.161,-0.051,1.061,0.190,-0.061,2.416,-0.909,-0.040,1.460,-0.726,-0.567,504
115,MOZ,NA,0.782,0.785,0.791,0.792,0.931,0.935,0.942,0.943,0.748,NA,0.842,0.861,0.855,0.866,0.911,0.954,0.946,0.962,0.842,0.327,0.706,0.133,0.358,0.773,0.145,2.216,-0.689,1.349,4.719,-0.880,1.727,508
116,MMR,NA,0.791,0.801,0.798,0.799,NA,NA,NA,NA,NA,NA,0.850,0.859,0.864,0.848,0.850,0.869,0.872,0.846,0.910,1.252,-0.419,0.127,NA,NA,NA,1.062,0.648,-1.865,2.232,0.445,-3.045,104
117,NAM,NA,0.934,0.948,0.948,0.948,0.897,0.915,0.915,0.915,0.861,NA,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.895,1.499,0.000,0.000,2.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,516
118,NRU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520
119,NPL,NA,0.777,0.786,0.784,0.782,0.852,0.864,0.861,0.859,0.767,NA,0.786,0.790,0.788,0.791,0.809,0.809,0.815,0.815,0.671,1.162,-0.313,-0.138,1.382,-0.372,-0.164,0.482,-0.231,0.420,0.000,0.767,-0.050,524
120,NLD,1,0.986,0.986,0.986,0.986,1.000,1.000,1.000,1.000,0.971,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,528
121,NZL,1,0.986,0.986,0.986,0.986,0.990,0.990,0.990,0.990,0.994,NA,1.000,0.999,1.000,1.000,0.928,0.925,0.958,0.958,NA,0.000,0.000,0.000,0.000,0.000,0.000,-0.139,0.139,0.000,-0.315,3.550,0.000,554
122,NIC,NA,0.945,0.953,0.922,0.957,0.897,0.906,0.867,0.911,NA,NA,1.000,1.000,1.000,1.000,0.999,1.000,0.970,0.998,0.927,0.798,-3.203,3.718,1.098,-4.393,5.163,0.000,0.000,0.000,0.051,-2.934,2.883,558
123,NER,NA,0.664,0.665,0.663,0.664,NA,NA,NA,NA,NA,0.55,0.655,0.658,0.652,0.653,0.546,0.543,0.529,0.530,0.584,0.201,-0.272,0.138,NA,NA,NA,0.509,-0.933,0.194,-0.698,-2.582,0.339,562
124,NGA,NA,0.817,0.830,0.824,0.821,1.000,1.000,1.000,1.000,0.844,0.95,0.864,0.886,0.880,0.890,0.921,0.946,0.938,0.959,0.865,1.531,-0.622,-0.386,0.000,0.000,0.000,2.489,-0.673,1.161,2.649,-0.777,2.215,566
125,NOR,0.998,0.986,0.986,0.986,0.986,0.998,0.998,0.998,0.998,1,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,578
126,OMN,0.84,0.825,0.817,0.822,0.829,NA,NA,NA,NA,0.909,NA,0.841,0.833,0.852,0.871,0.759,0.736,0.726,0.759,NA,-0.912,0.536,0.867,NA,NA,NA,-0.965,2.389,2.158,-3.037,-1.413,4.575,512
127,PAK,NA,0.696,0.700,0.697,0.699,0.907,0.912,0.908,0.910,0.762,0.49,0.697,0.704,0.700,0.702,0.550,0.559,0.544,0.552,0.443,0.548,-0.468,0.276,0.549,-0.469,0.277,0.898,-0.563,0.300,1.535,-2.607,1.328,586
128,PLW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,585
129,PAN,1,0.986,0.982,0.986,0.982,0.991,0.985,0.991,0.985,0.96,NA,1.000,1.000,1.000,1.000,0.995,0.995,0.998,0.998,NA,-0.449,0.451,-0.449,-0.583,0.587,-0.583,0.000,0.000,0.000,-0.037,0.273,0.000,591
130,PNG,NA,0.833,0.838,0.839,0.843,NA,NA,NA,NA,NA,NA,0.867,0.881,0.878,0.876,NA,NA,NA,NA,NA,0.595,0.176,0.508,NA,NA,NA,1.614,-0.354,-0.163,NA,NA,NA,598
131,PRY,1,0.967,0.941,0.969,0.969,0.946,0.912,0.948,0.948,0.902,NA,1.000,1.000,1.000,1.000,0.975,0.975,0.952,0.956,NA,-2.690,2.957,0.000,-3.590,3.982,0.000,0.000,0.000,0.000,-0.035,-2.304,0.339,600
132,PER,0.891,0.907,0.903,0.917,0.925,0.898,0.894,0.911,0.922,0.899,NA,0.966,0.965,0.972,0.972,0.898,0.888,0.896,0.896,0.935,-0.380,1.480,0.866,-0.500,1.952,1.137,-0.012,0.634,0.000,-1.086,0.977,0.000,604
133,PHL,NA,0.986,0.986,0.986,0.986,0.957,0.957,0.957,0.957,0.917,NA,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.932,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,608
134,POL,0.967,0.980,0.980,0.984,0.973,0.975,0.975,0.981,0.965,0.938,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.005,0.485,-1.210,0.006,0.635,-1.585,0.000,0.000,0.000,NA,NA,NA,616
135,PRT,0.915,0.947,0.947,0.934,0.934,0.952,0.952,0.935,0.935,0.943,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,-0.011,-1.338,0.000,-0.014,-1.738,0.000,0.000,0.000,0.000,NA,NA,NA,620
136,QAT,0.974,0.949,0.954,0.962,0.950,0.982,0.989,1.000,0.984,1,NA,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,NA,0.537,0.909,-1.290,0.677,1.144,-1.620,0.000,0.000,0.000,0.000,0.000,0.000,634
138,ROU,0.909,0.952,0.952,0.952,0.960,0.944,0.944,0.944,0.955,0.935,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,0.000,0.889,0.000,0.000,1.170,0.000,0.000,0.000,NA,NA,NA,642
140,RWA,NA,0.731,0.745,0.746,0.733,0.671,0.689,0.690,0.674,0.809,0.82,0.750,0.770,0.777,0.765,0.791,0.821,0.835,0.821,0.877,1.909,0.081,-1.653,2.715,0.114,-2.332,2.575,0.996,-1.578,3.849,1.623,-1.607,646
141,KNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,659
142,LCA,NA,0.986,0.986,0.986,0.986,NA,NA,NA,NA,NA,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,0.000,0.000,NA,NA,NA,0.000,0.000,0.000,NA,NA,NA,662
143,VCT,NA,0.986,0.986,0.986,0.986,NA,NA,NA,NA,NA,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,0.000,0.000,NA,NA,NA,0.000,0.000,0.000,NA,NA,NA,670
144,WSM,NA,0.986,0.986,0.986,0.986,NA,NA,NA,NA,NA,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,0.000,0.000,NA,NA,NA,0.000,0.000,0.000,NA,NA,NA,882
145,SMR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,674
146,STP,NA,0.861,0.861,0.871,0.863,NA,NA,NA,NA,NA,NA,0.946,0.957,0.956,0.955,1.000,1.000,1.000,1.000,0.925,0.013,1.137,-0.866,NA,NA,NA,1.171,-0.119,-0.097,0.000,0.000,0.000,678
147,SAU,0.784,0.728,0.736,0.748,0.748,0.717,0.728,0.743,0.743,0.833,NA,0.736,0.731,0.746,0.747,0.686,0.656,0.677,0.675,NA,1.114,1.592,0.000,1.476,2.101,0.000,-0.594,2.026,0.124,-4.386,3.196,-0.271,682
148,SEN,NA,0.771,0.774,0.771,0.775,0.962,0.966,0.961,0.967,0.701,0.85,0.840,0.842,0.846,0.838,0.937,0.940,0.943,0.929,0.858,0.368,-0.431,0.565,0.385,-0.451,0.591,0.219,0.541,-1.002,0.250,0.373,-1.550,686
149,SRB,NA,0.911,0.911,0.911,0.934,0.883,0.883,0.883,0.914,0.931,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,0.000,2.598,0.000,0.000,3.496,0.000,0.000,0.000,NA,NA,NA,688
150,SYC,NA,0.920,0.920,0.923,0.925,NA,NA,NA,NA,NA,NA,0.967,0.974,0.962,0.965,0.946,0.954,0.923,0.938,NA,0.019,0.278,0.258,NA,NA,NA,0.777,-1.221,0.271,0.833,-3.273,1.699,690
151,SLE,NA,0.784,0.801,0.815,0.821,NA,NA,NA,NA,NA,NA,0.805,0.841,0.843,0.851,0.880,0.928,0.930,0.936,0.822,2.267,1.705,0.741,NA,NA,NA,4.465,0.211,0.941,5.494,0.232,0.690,694
152,SGP,0.952,0.930,0.930,0.913,0.932,0.971,0.971,0.949,0.973,NA,NA,0.984,0.982,0.984,0.986,0.904,0.901,0.904,0.907,NA,0.000,-1.796,2.032,0.000,-2.245,2.552,-0.209,0.223,0.212,-0.322,0.345,0.327,702
153,SVK,0.981,0.986,0.986,0.986,0.986,0.985,0.985,0.985,0.985,0.974,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,703
154,SVN,0.94,0.955,0.955,0.955,0.955,0.945,0.945,0.946,0.946,0.962,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,-0.062,0.085,0.000,-0.082,0.112,0.000,0.000,0.000,0.000,NA,NA,NA,705
155,SLB,NA,0.909,0.909,0.909,0.913,NA,NA,NA,NA,NA,NA,0.980,0.990,0.975,0.972,NA,NA,NA,NA,NA,-0.014,-0.056,0.527,NA,NA,NA,1.036,-1.504,-0.259,NA,NA,NA,090
156,SOM,NA,0.802,0.791,0.803,0.805,NA,NA,NA,NA,NA,NA,0.803,0.822,0.816,0.824,0.701,0.715,0.707,0.717,0.608,-1.420,1.588,0.235,NA,NA,NA,2.403,-0.720,0.917,1.960,-1.127,1.499,706
157,ZAF,NA,0.963,0.969,0.968,0.968,0.952,0.961,0.959,0.959,0.884,NA,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.937,0.677,-0.111,-0.033,0.894,-0.146,-0.043,0.000,0.000,0.000,0.000,0.000,0.000,710
159,ESP,0.96,0.986,0.986,0.986,0.986,0.995,0.995,0.995,0.995,0.944,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,724
160,LKA,NA,0.739,0.739,0.740,0.751,0.663,0.663,0.665,0.679,0.823,NA,0.781,0.784,0.790,0.790,0.867,0.877,0.886,0.886,NA,-0.025,0.182,1.450,-0.036,0.264,2.107,0.405,0.823,-0.023,1.135,1.072,-0.029,144
161,SUR,NA,0.951,0.951,0.980,0.980,0.931,0.931,0.968,0.968,NA,NA,1.000,1.000,1.000,1.000,NA,NA,NA,NA,NA,-0.018,3.006,0.000,-0.024,4.008,0.000,0.000,0.000,0.000,NA,NA,NA,740
